时间,季度,市公司,销量（箱）,销额（元）
2009,二季度,遵义市,48603.128,673990605.5
2009,二季度,铜仁市,20915.568,299455038
2009,二季度,黔东南州,23804.5587,303970450.5
2009,二季度,黔南州,25738.5406,326359526
2009,二季度,黔西南州,18350.4857,234075893
2009,四季度,六盘水市,18944.474,336272360
2009,四季度,安顺市,18948.5816,124036781.6
2009,四季度,毕节市,32620.796,443897238
2009,四季度,贵阳市,47279.5624,841172035.5
2009,四季度,遵义市,45520.14,648103776.5
2009,四季度,铜仁市,16656.0601,227680152.5
2009,四季度,黔东南州,21597.5506,262922298.5
2009,四季度,黔南州,21786.1,279185016.5
2009,四季度,黔西南州,19520.048,241111720.5
2010,一季度,六盘水市,33102.713,594030941.5
2010,一季度,安顺市,18955.6693,126343560.6
2010,一季度,毕节市,67867.116,923878227.5
2010,一季度,贵阳市,64371.3503,1256633220
2010,一季度,遵义市,68705.448,1051176678
2010,一季度,铜仁市,39439.1526,595848391
2010,一季度,黔东南州,41357.109,598106229
2010,一季度,黔南州,44027.0705,594846375.5
2010,一季度,黔西南州,32842.339,443461912.5
2010,三季度,六盘水市,25075.6048,485584167
2010,三季度,安顺市,19046.4759,127075131.5
2010,三季度,毕节市,44409.3125,670360042
2010,三季度,贵阳市,58334.0275,1169934081
2010,三季度,遵义市,52925.214,840654920
2010,三季度,铜仁市,24062.4364,379577511.5
2010,三季度,黔东南州,30516.0509,432967223.3
2010,三季度,黔南州,30532.0034,448267530
2010,三季度,黔西南州,22629.5401,331822629.5
2010,二季度,六盘水市,23337.645,419776295.5
2010,二季度,安顺市,18997.4609,126563758.5
2010,二季度,毕节市,40108.5495,587008342.5
2010,二季度,贵阳市,52244.1098,1011364734
2010,二季度,遵义市,53872.488,817345251.3
2010,二季度,铜仁市,21879.2552,333207061
2010,二季度,黔东南州,24425.9401,341391300
2010,二季度,黔南州,28875.3495,400007871
2010,二季度,黔西南州,21322.4899,297239451
2010,四季度,六盘水市,18876.9464,252841827
2010,四季度,安顺市,16318.3679,172226195.5
2010,四季度,毕节市,22830.718,322848886.5
2010,四季度,贵阳市,48902.459,921124968.7
2010,四季度,遵义市,31004.162,488828793.5
2010,四季度,铜仁市,11973.464,189526363.5
2010,四季度,黔东南州,23042.1272,329222533.5
2010,四季度,黔南州,25090.4506,371752078.9
2010,四季度,黔西南州,19439.4868,286490557.5
2011,一季度,六盘水市,35093.0279,709090776.3
2011,一季度,安顺市,32913.6676,562793228
2011,一季度,毕节市,74414.6365,1135309115
2011,一季度,贵阳市,68711.757,1527869447
2011,一季度,遵义市,77164.904,1345226945
2011,一季度,铜仁市,42066.8248,720138955
2011,一季度,黔东南州,41851.4291,657858757.3
2011,一季度,黔南州,39309.1624,604868586
2011,一季度,黔西南州,34414.9082,514974184.5
2011,三季度,六盘水市,24996.8774,554850067.8
2011,三季度,安顺市,25439.2141,481386344.5
2011,三季度,毕节市,47697.8198,848800770.5
2011,三季度,贵阳市,63104.6254,1502323972
2011,三季度,遵义市,57979.9626,1096018752
2011,三季度,铜仁市,25161.7044,510492547
2011,三季度,黔东南州,30446.1564,535506382.5
2011,三季度,黔南州,29623.3005,535476115
2011,三季度,黔西南州,24862.8918,446749662.5
2011,二季度,六盘水市,24501.6389,497107137.5
2011,二季度,安顺市,24220.8658,423346353.5
2011,二季度,毕节市,43569.1799,739466514
2011,二季度,贵阳市,56734.1432,1247510501
2011,二季度,遵义市,53712.762,917161018.5
2011,二季度,铜仁市,23815.4608,436267604
2011,二季度,黔东南州,27976.0866,446966325.7
2011,二季度,黔南州,30939.0439,479985923.5
2011,二季度,黔西南州,23330.9862,373393036.9
2011,四季度,六盘水市,18743.814,412678425.5
2011,四季度,安顺市,18679.0849,377319537.5
2011,四季度,毕节市,35700.511,680904468.5
2011,四季度,贵阳市,45008.8394,1121915230
2011,四季度,遵义市,46197.3386,920398053.1
2011,四季度,铜仁市,18200.316,371301456
2011,四季度,黔东南州,23107.1529,401494196.8
2011,四季度,黔南州,25608.2724,457858234.5
2011,四季度,黔西南州,18480.9382,344836921.5
2012,一季度,六盘水市,36814.7928,834819449
2012,一季度,安顺市,37313.049,724418034.5
2012,一季度,毕节市,84066.9604,1425111883
2012,一季度,贵阳市,71242.3203,1719434273
2012,一季度,遵义市,82689.5684,1630910511
2012,一季度,铜仁市,43452.8578,868117849.5
2012,一季度,黔东南州,45013.7174,863654284.8
2012,一季度,黔南州,43767.3996,791308935
2012,一季度,黔西南州,39994.8944,701001800
2012,三季度,六盘水市,26164.2961,658783940.5
2012,三季度,安顺市,27594.532,632929589
2012,三季度,毕节市,45361.783,1002640367
2012,三季度,贵阳市,64690.81398,1793228424
2012,三季度,遵义市,60835.06,1380067530
2012,三季度,铜仁市,25803.1074,601499562
2012,三季度,黔东南州,31129.9048,657567924.8
2012,三季度,黔南州,30295.5765,648388796.8
2012,三季度,黔西南州,23811.2225,501200327
2012,二季度,六盘水市,25351.8097,604039302.5
